Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount,SMA50,SMA200,RSI14,ATR14,cross_above_50,entry_signal,exit_signal
1565740800000,2019-08-14,BTCUSDT,10893.36,10897.48,9928.1,10050.37,54451.847499,567724729.1059059,534507,10931.154199999999,6961.146049999999,41.68973400985766,664.9033530155111,False,False,True
1565827200000,2019-08-15,BTCUSDT,10055.16,10460.0,9911.0,10293.93,38174.45112,387705855.0879112,373368,10875.156799999999,6994.8615,44.47428213186498,656.6245420858318,False,False,True
1565913600000,2019-08-16,BTCUSDT,10296.77,10536.03,9750.0,10331.54,51758.142918,527258446.3977765,504740,10855.1878,7029.348450000001,44.91175457024022,665.8677890797011,False,False,True
1566000000000,2019-08-17,BTCUSDT,10331.15,10465.14,10000.0,10216.02,29000.581201,297776329.0305825,332795,10811.4956,7063.373350000001,43.77102740094218,651.5300898597224,False,False,True
1566086400000,2019-08-18,BTCUSDT,10216.05,10500.0,10080.0,10306.78,24085.395172,248508872.4599864,265705,10779.568599999999,7097.61635,44.95398622546295,634.9922262983137,False,False,True
1566172800000,2019-08-19,BTCUSDT,10306.17,10930.0,10258.6,10915.54,37243.319217,396233441.0274596,337022,10780.7974,7135.02355,52.215582227127356,637.5927815627198,True,True,False
1566259200000,2019-08-20,BTCUSDT,10914.73,10949.96,10560.0,10760.51,32298.921679,346664453.1367265,305065,10783.509000000002,7171.51575,50.39241825186364,619.9047257368112,False,False,True
1566345600000,2019-08-21,BTCUSDT,10760.51,10804.13,9858.0,10142.57,47355.719282,482889274.517917,458814,10769.503399999998,7204.70475,43.8241043488641,643.2065310413246,False,False,True
1566432000000,2019-08-22,BTCUSDT,10140.82,10242.0,9762.0,10099.88,34059.642738,341371442.9068388,401148,10732.701,7237.9136,43.40320809489297,631.5489216812301,False,False,True
1566518400000,2019-08-23,BTCUSDT,10099.9,10445.0,10019.79,10389.55,27550.336173,282732431.7520724,326866,10717.5786,7272.54525,47.11478396153035,616.8104272754279,False,False,True
1566604800000,2019-08-24,BTCUSDT,10388.16,10419.42,9890.0,10134.35,27692.456844,279962133.6257099,313227,10700.851,7305.85905,44.35502477413864,610.5682538986116,False,False,True
1566691200000,2019-08-25,BTCUSDT,10134.61,10333.0,9906.97,10142.69,26271.657398,265132761.31704283,289956,10678.575,7339.545649999999,44.4695010844261,597.3869500487108,False,False,True
1566777600000,2019-08-26,BTCUSDT,10142.69,10604.0,10137.93,10372.25,41687.511599,432249835.49069726,405316,10657.8952,7374.4149,47.661244079434184,588.0071679023742,False,False,True
1566864000000,2019-08-27,BTCUSDT,10373.6,10391.08,10051.08,10185.05,28402.775383,289340681.0789518,292888,10616.8242,7407.0449499999995,45.37106409294493,570.2923701950618,False,False,True
1566950400000,2019-08-28,BTCUSDT,10185.69,10299.0,9601.01,9721.0,42110.555375,420034883.00315255,381293,10560.376,7437.32405,40.21270949602468,579.4136294668431,False,False,True
1567036800000,2019-08-29,BTCUSDT,9721.0,9724.0,9320.0,9498.44,35532.69491,337838761.5572865,343887,10508.1774,7466.41595,37.982319881017155,566.8840845049258,False,False,True
1567123200000,2019-08-30,BTCUSDT,9499.01,9696.0,9350.41,9584.54,26834.318104,255854874.4507745,259270,10473.010400000001,7496.1834,39.38304285512314,551.0773641831455,False,False,True
1567209600000,2019-08-31,BTCUSDT,9582.76,9684.51,9420.75,9587.47,17130.290074,164116756.46299693,199188,10429.6154,7525.963449999999,39.43317550856365,530.5546953129209,False,False,True
1567296000000,2019-09-01,BTCUSDT,9588.74,9830.0,9520.0,9724.98,19545.404843,188513289.12235728,191324,10396.9998,7556.54135,41.86329870545734,514.8007885048552,False,False,True
1567382400000,2019-09-02,BTCUSDT,9723.59,10450.0,9712.5,10340.0,44740.248093,448462178.630381,354155,10400.316200000001,7590.28855,51.27893910116468,530.7078750402227,False,False,True
1567468800000,2019-09-03,BTCUSDT,10340.0,10773.0,10272.0,10615.28,47998.376781,505617667.3992669,416076,10395.8474,7625.3526,54.80703526640527,528.5858839659211,True,True,False
1567555200000,2019-09-04,BTCUSDT,10611.85,10799.0,10369.89,10567.02,43943.889026,463526509.325937,383457,10418.396,7660.09565,54.06783855285641,521.480463682641,False,False,False
1567641600000,2019-09-05,BTCUSDT,10565.92,10900.0,10450.0,10564.49,33970.960639,358861340.7897901,309846,10436.3274,7694.5802,54.02669990200649,516.3747162767381,False,False,False
1567728000000,2019-09-06,BTCUSDT,10563.13,10905.87,10150.0,10298.73,58799.640959,623662984.3843305,455334,10429.7588,7726.580849999999,49.74501793702117,533.4815222569712,False,False,True
1567814400000,2019-09-07,BTCUSDT,10298.71,10558.0,10288.57,10455.88,27637.877392,287851131.1802577,272011,10428.7906,7759.3213,52.159431968384446,514.6206992386161,True,True,False
1567900800000,2019-09-08,BTCUSDT,10455.9,10592.5,10208.0,10381.18,23984.672018,249900964.37153128,237752,10421.6096,7791.3785,50.90743088643986,505.32636357871496,False,False,True
1567987200000,2019-09-09,BTCUSDT,10381.24,10480.0,10068.5,10303.12,39835.727608,409724831.9471226,330459,10415.883,7823.20755,49.56846368714151,498.62448046594966,False,False,True
1568073600000,2019-09-10,BTCUSDT,10302.58,10384.99,9953.0,10098.15,28915.412225,294323839.5070076,286763,10411.0398,7853.8883000000005,46.13696220118478,493.8648747183818,False,False,True
1568160000000,2019-09-11,BTCUSDT,10098.19,10293.0,9880.0,10158.33,31953.824562,321637085.47650874,309120,10416.9082,7884.09115,47.29071410506269,488.08881223849744,False,False,True
1568246400000,2019-09-12,BTCUSDT,10158.75,10448.81,10040.0,10415.01,34511.162755,353390090.96777725,317881,10429.942799999999,7917.448399999999,52.01218279252749,482.4260399357476,False,False,True
1568332800000,2019-09-13,BTCUSDT,10415.01,10439.0,10153.0,10342.06,30280.339776,311632094.25618845,304947,10439.186599999999,7950.0191,50.624255923628354,468.39560851176566,False,False,True
1568419200000,2019-09-14,BTCUSDT,10344.13,10419.99,10222.33,10335.02,23621.533519,244063007.0902248,253929,10449.407,7982.648050000001,50.48424902037429,449.05735076092526,False,False,True
1568505600000,2019-09-15,BTCUSDT,10332.81,10360.0,10252.15,10302.01,18047.654013,185853330.43704256,194733,10465.9168,8015.06775,49.7889346915028,424.68539713514497,False,False,True
1568592000000,2019-09-16,BTCUSDT,10303.34,10355.0,10078.0,10251.31,28971.401657,296325130.1709013,274368,10480.1122,8047.2558500000005,48.67995756551594,414.1364401969203,False,False,True
1568678400000,2019-09-17,BTCUSDT,10249.68,10275.0,10128.01,10187.82,22914.324563,233944812.560508,287483,10493.715799999998,8079.07995,47.26034862293754,395.054551611426,False,False,True
1568764800000,2019-09-18,BTCUSDT,10187.48,10258.02,10100.0,10156.99,24250.249303,247024351.59799168,299466,10505.371400000002,8110.76525,46.550451664159795,378.12351221060993,False,False,True
1568851200000,2019-09-19,BTCUSDT,10156.41,10325.0,9653.0,10244.29,44826.282579,447676492.9840264,429727,10508.6466,8142.947949999999,48.89153376769329,399.1146899098521,False,False,True
1568937600000,2019-09-20,BTCUSDT,10243.7,10281.0,10061.39,10168.59,25088.491069,255205290.2118373,267032,10504.518600000001,8175.2144,46.97037629673902,386.2929263448627,False,False,True
1569024000000,2019-09-21,BTCUSDT,10167.92,10176.7,9900.0,9986.39,20544.175196,206034034.50803515,245439,10493.7714,8205.857699999999,42.62859904381966,378.4648601773726,False,False,True
1569110400000,2019-09-22,BTCUSDT,9985.15,10089.0,9853.97,10028.87,22049.275256,220133631.61284167,253713,10478.0116,8236.69285,43.92995241945521,368.21951302184607,False,False,True
1569196800000,2019-09-23,BTCUSDT,10028.05,10049.99,9615.77,9702.25,31937.232356,314390584.62646127,332817,10453.472000000002,8265.8359,36.983665876680924,372.9338335202856,False,False,True
